Code,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,code_original,Severity,cut_off,scale,Reference_std,individual,system,SNOMED_CT_ID,SNOMED_CT_Des_ID,icd11
F189,Mental and behavioural disorders due to use of volatile solvents,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,F189,Severe,"","","",2,ICD-10,,,6C4B.Z
P961,Neonatal withdrawal symptoms from maternal use of drugs of addiction,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,P961,Severe,"","","",2,ICD-10,,,KD35
Y110,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y110,Severe,"","","",2,ICD-10,,,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y12,Severe,"","","",2,ICD-10,,,PH45
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y12,Severe,"","","",2,ICD-10,,,PH46
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y12,Severe,"","","",2,ICD-10,,,PH48
Y120,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y120,Severe,"","","",2,ICD-10,,,
Y121,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y121,Severe,"","","",2,ICD-10,,,
Y122,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y122,Severe,"","","",2,ICD-10,,,
Y123,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y123,Severe,"","","",2,ICD-10,,,
Y124,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y124,Severe,"","","",2,ICD-10,,,
Y125,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y125,Severe,"","","",2,ICD-10,,,
Y126,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y126,Severe,"","","",2,ICD-10,,,
Y127,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y127,Severe,"","","",2,ICD-10,,,
Y128,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y128,Severe,"","","",2,ICD-10,,,
Y129,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y129,Severe,"","","",2,ICD-10,,,
Y140,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y140,Severe,"","","",2,ICD-10,,,
Y130,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Y130,Severe,"","","",2,ICD-10,,,
T40,Poisoning by narcotics and psychodysleptics [hallucinogens],MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T40,Severe,"","","",2,ICD-10,,,NE60
T407,Poisoning: Cannabis (derivatives),MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T407,Severe,"","","",2,ICD-10,,,NE60
T405,Poisoning: Cocaine,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T405,Severe,"","","",2,ICD-10,,,NE60
T401,Poisoning: Heroin,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T401,Severe,"","","",2,ICD-10,,,NE60
T408,Poisoning: Lysergide [LSD],MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T408,Severe,"","","",2,ICD-10,,,NE60
T403,Poisoning: Methadone,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T403,Severe,"","","",2,ICD-10,,,NE60
T400,Poisoning: Opium,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T400,Severe,"","","",2,ICD-10,,,NE60
T406,Poisoning: Other and unspecified narcotics,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T406,Severe,"","","",2,ICD-10,,,NE60
T409,Poisoning: Other and unspecified psychodysleptics [hallucinogens],MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T409,Severe,"","","",2,ICD-10,,,NE60
T402,Poisoning: Other opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T402,Severe,"","",2,2,ICD-10,,,NE60
T436,Poisoning: Psychostimulants with abuse potential,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,T436,Severe,"","",2,2,ICD-10,,,NE60
F55,Abuse of non-dependence-producing substances,MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,F55,Moderate,"","","",2,ICD-10,,,6C4H.1Z
X600,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,X600,Moderate,"","","",2,ICD-10,,,
F171,Mental and behavioural disorders due to use of tobacco,MSM2,"Mental behavioural disorders due to tobacco use (harmful use), hospital admission recording ","Drug misuse, moderate (all other)",Drug misuse,MSM,F171,Moderate,"","","",2,ICD-10,,,6C4A.1Z
F173,Mental and behavioural disorders due to use of tobacco,MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,F173,Moderate,"","","",2,ICD-10,,,6C4A.4
F174,Mental and behavioural disorders due to use of tobacco,MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,F174,Moderate,"","","",2,ICD-10,,,6C4A.4
F177,Mental and behavioural disorders due to use of tobacco,MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,F177,Moderate,"","","",2,ICD-10,,,6C4A.Z
F178,Mental and behavioural disorders due to use of tobacco,MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,F178,Moderate,"","","",2,ICD-10,,,6C4A.Z
F179,Mental and behavioural disorders due to use of tobacco,MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,F179,Moderate,"","","",2,ICD-10,,,6C4A.Z
Y100,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent",MSM2,Drug misuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,Y100,Moderate,"","","",2,ICD-10,,,
Z864,Personal history of psychoactive substance abuse,MSM2,Personal history of psychoactive substance abuse,"Drug misuse, moderate (all other)",Drug misuse,MSM,Z864,Moderate,"","","",2,ICD-10,,,QC46
Z036,Observation for suspected toxic effect from ingested substance,MSM2,Maternal poisoning by addictive drugs incl. benzodiazepines,"Drug misuse, moderate (all other)",Drug misuse,MSM,Z036,Moderate,"","","",2,ICD-10,,,QA02.5
T391,Poisoning: 4-Aminophenol derivatives,MSM2,Maternal poisoning by addictive drugs incl. benzodiazepines,"Drug misuse, moderate (all other)",Drug misuse,MSM,T391,Moderate,"","","",2,ICD-10,,,NE60
T424,Poisoning: Benzodiazepines,MSM2,Maternal poisoning by addictive drugs incl. benzodiazepines,"Drug misuse, moderate (all other)",Drug misuse,MSM,T424,Moderate,"","","",2,ICD-10,,,NE60
T432,Poisoning: Other and unspecified antidepressants,MSM2,Maternal poisoning by addictive drugs incl. benzodiazepines,"Drug misuse, moderate (all other)",Drug misuse,MSM,T432,Moderate,"","","",2,ICD-10,,,NE60
Z722,Drug use,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,Z722,Moderate,"","","",1,ICD-10,,,QE11.Z
Z811,Family history of alcohol abuse,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,Z811,Moderate,"","",2,1,ICD-10,,,QC65
Z813,Family history of other psychoactive substance abuse,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,Z813,Moderate,"","",2,1,ICD-10,,,QC65
Z814,Family history of other substance abuse,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,Z814,Moderate,"","","",1,ICD-10,,,QC65
X450,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X450,Severe,"","","",2,ICD-10,,,
X451,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X451,Severe,"","","",2,ICD-10,,,
X452,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X452,Severe,"","","",2,ICD-10,,,
X454,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X454,Severe,"","","",2,ICD-10,,,
X455,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X455,Severe,"","","",2,ICD-10,,,
X456,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X456,Severe,"","","",2,ICD-10,,,
X458,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X458,Severe,"","","",2,ICD-10,,,
X459,Accidental poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X459,Severe,"","","",2,ICD-10,,,
Z714,Alcohol abuse counselling and surveillance,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Z714,Severe,"","","",2,ICD-10,,,QA11
Y919,"Alcohol involvement, not otherwise specified",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y919,Severe,"","","",2,ICD-10,,,6C40.3
Z502,Alcohol rehabilitation,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Z502,Severe,"","","",2,ICD-10,,,QB95.2
Z721,Alcohol use,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Z721,Severe,"","","",2,ICD-10,,,QE10
I426,Alcoholic cardiomyopathy,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,I426,Severe,"","","",2,ICD-10,,,BC43.01
K703,Alcoholic cirrhosis of liver,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K703,Severe,"","","",2,ICD-10,,,DB94.3
K700,Alcoholic fatty liver,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K700,Severe,"","","",2,ICD-10,,,DB94.0
K702,Alcoholic fibrosis and sclerosis of liver,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K702,Severe,"","","",2,ICD-10,,,DB94.2
K704,Alcoholic hepatic failure,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K704,Severe,"","","",2,ICD-10,,,DB94.Z
K701,Alcoholic hepatitis,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K701,Severe,"","","",2,ICD-10,,,DB94.1Z
K70,Alcoholic liver disease,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K70,Severe,"","","",2,ICD-10,,,DB94.Z
K709,"Alcoholic liver disease, unspecified",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K709,Severe,"","","",2,ICD-10,,,DB94.Z
G721,Alcoholic myopathy,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,G721,Severe,"","","",2,ICD-10,,,8D44.1
G621,Alcoholic polyneuropathy,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,G621,Severe,"","","",2,ICD-10,,,8D44.0
K852,Alcohol-induced acute pancreatitis,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K852,Severe,"","","",2,ICD-10,,,DC31.1
K860,Alcohol-induced chronic pancreatitis,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,K860,Severe,"","","",2,ICD-10,,,DC32.3
Y907,Blood alcohol level of 200-239 mg/100 ml,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y907,Severe,"","","",2,ICD-10,,,MA13.1
Y908,Blood alcohol level of 240 mg/100 ml or more,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y908,Severe,"","","",2,ICD-10,,,MA13.1
G312,Degeneration of nervous system due to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,G312,Severe,"","","",2,ICD-10,,,8D44.Z
Y91,Evidence of alcohol involvement determined by level of intoxication,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y91,Severe,"","","",2,ICD-10,,,6C40.3
R780,Finding of alcohol in blood,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,R780,Severe,"","","",2,ICD-10,,,MA13.1
X650,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X650,Severe,"","","",2,ICD-10,,,
X651,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X651,Severe,"","","",2,ICD-10,,,
X652,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X652,Severe,"","","",2,ICD-10,,,
X654,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X654,Severe,"","","",2,ICD-10,,,
X655,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X655,Severe,"","","",2,ICD-10,,,
X656,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X656,Severe,"","","",2,ICD-10,,,
X658,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X658,Severe,"","","",2,ICD-10,,,
X659,Intentional self-poisoning by and exposure to alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,X659,Severe,"","","",2,ICD-10,,,
O354,Maternal care for (suspected) damage to fetus from alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,O354,Severe,"","","",2,ICD-10,,,JA85.Z
F10,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F10,Severe,"","","",2,ICD-10,,,6C40.Z
F100,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F100,Severe,"","","",2,ICD-10,,,6C40.3
F101,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F101,Severe,"","","",2,ICD-10,,,6C40.1Z
F102,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F102,Severe,"","","",2,ICD-10,,,6C40.2Z
F102,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F102,Severe,"","","",2,ICD-10,,,6C40.Z
F102,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F102,Severe,"","","",2,ICD-10,,,8D44.Z
F103,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F103,Severe,"","","",2,ICD-10,,,6C40.4Z
F104,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F104,Severe,"","","",2,ICD-10,,,6C40.5
F105,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F105,Severe,"","","",2,ICD-10,,,6C40.6Z
F106,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F106,Severe,"","","",2,ICD-10,,,6D72.10
F107,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F107,Severe,"","","",2,ICD-10,,,6C40.Z
F107,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F107,Severe,"","","",2,ICD-10,,,6D84.0
F108,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F108,Severe,"","","",2,ICD-10,,,6C40.Z
F109,Mental and behavioural disorders due to use of alcohol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,F109,Severe,"","","",2,ICD-10,,,6C40.Z
Y15,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y15,Severe,"","","",2,ICD-10,,,PH50
Y150,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y150,Severe,"","","",2,ICD-10,,,
Y151,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y151,Severe,"","","",2,ICD-10,,,
Y152,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y152,Severe,"","","",2,ICD-10,,,
Y153,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y153,Severe,"","","",2,ICD-10,,,
Y154,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y154,Severe,"","","",2,ICD-10,,,
Y155,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y155,Severe,"","","",2,ICD-10,,,
Y156,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y156,Severe,"","","",2,ICD-10,,,
Y157,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y157,Severe,"","","",2,ICD-10,,,
Y158,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y158,Severe,"","","",2,ICD-10,,,
Y159,"Poisoning by and exposure to alcohol, undetermined intent",MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y159,Severe,"","","",2,ICD-10,,,
Y912,Severe alcohol intoxication,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y912,Severe,"","","",2,ICD-10,,,6C40.3
G405,Special epileptic syndromes,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,G405,Severe,"","","",2,ICD-10,,,8A60.Z
T510,Toxic effect: Ethanol,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,T510,Severe,"","","",2,ICD-10,,,NE61
Y913,Very severe alcohol intoxication,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,Y913,Severe,"","","",2,ICD-10,,,6C40.3
E512,Wernickeencephalopathy,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,E512,Severe,"","","",2,ICD-10,,,5B5A.10
E242,Drug-induced Cushing syndrome,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,E242,Severe,"","","",2,ICD-10,,,5A70.Z
E244,Alcohol-induced pseudo-Cushing syndrome,MSM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,MSM,E244,Severe,"","","",2,ICD-10,,,5A70.2
F659,"Disorder of sexual preference, unspecified",mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F659,"","","","",2,ICD-10,,,6D3Z
F652,Exhibitionism,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F652,"","","","",2,ICD-10,,,6D30
F650,Fetishism,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F650,"","","","",2,ICD-10,,,6D36
F651,Fetishistic transvestism,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F651,"","","","",2,ICD-10,,,6D36
F656,Multiple disorders of sexual preference,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F656,"","","","",2,ICD-10,,,6D3Z
F658,Other disorders of sexual preference,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F658,"","","","",2,ICD-10,,,6D36
F658,Other disorders of sexual preference,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F658,"","","","",2,ICD-10,,,6D35
F654,Paedophilia,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F654,"","","","",2,ICD-10,,,6D32
F655,Sadomasochism,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F655,"","","","",2,ICD-10,,,6D36
F653,Voyeurism,mMHP16,Paraphilic disorder,Personality disorders,Personality disorders,mMHPs,F653,"","","","",2,ICD-10,,,6D31
F605,Anankastic personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F605,diagnostic,"","","",2,ICD-10,,,6D11.4
F606,Anxious [avoidant] personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F606,diagnostic,"","","",2,ICD-10,,,6D10.Z
F607,Dependent personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F607,diagnostic,"","","",2,ICD-10,,,6D10.Z
F602,Dissocial personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F602,diagnostic,"","","",2,ICD-10,,,6D10.Z
F602,Dissocial personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F602,diagnostic,"","","",2,ICD-10,,,6D11.2
F680,Elaboration of physical symptoms for psychological reasons,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F680,diagnostic,"","","",2,ICD-10,,,6D5Z
F603,Emotionally unstable personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F603,diagnostic,"","","",2,ICD-10,,,6D10.Z
F620,Enduring personality change after catastrophic experience,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F620,diagnostic,"","","",2,ICD-10,,,6B40
F620,Enduring personality change after catastrophic experience,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F620,diagnostic,"","","",2,ICD-10,,,6B41
F621,Enduring personality change after psychiatric illness,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F621,diagnostic,"","","",2,ICD-10,,,6D10.Z
F629,"Enduring personality change, unspecified",mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F629,diagnostic,"","","",2,ICD-10,,,6D10.Z
F62,"Enduring personality changes, not attributable to brain damage and disease",mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F62,diagnostic,"","","",2,ICD-10,,,6B41
F639,"Habit and impulse disorder, unspecified",mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F639,diagnostic,"","","",2,ICD-10,,,6C7Z
F63,Habit and impulse disorders,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F63,diagnostic,"","","",2,ICD-10,,,6C7Z
F604,Histrionic personality disorder,mMHP16,Personality disorder,Personality disorders,Personality disorders,mMHPs,F604,diagnostic,"","","",2,ICD-10,,,6D10.Z
