medcode	term	health_comorbidity_domain	severity	scale	system	individual
72939	Xenotransplantation of heart	Atrial fibrillation			read	2
73817	Closure defect atrioventricular septum using tissue graft	Atrial fibrillation			read	2
95799	Pulmonary valve repair NEC	Atrial fibrillation			read	2
96247	Truncal valve repair	Atrial fibrillation			read	2
96637	Biventricular repair of hypoplastic left heart syndrome	Atrial fibrillation			read	2
97825	Takedown of total cavopulmonary connection	Atrial fibrillation			read	2
98388	Operation on structure adjacent to valve of heart NOS	Atrial fibrillation			read	2
98443	Repair of double outlet right ventricle	Atrial fibrillation			read	2
43685	Open division of conducting system of heart NEC	Atrial fibrillation			read	2
56741	Correct total anomal pulm venous connect to coronary sinus	Atrial fibrillation			read	2
60753	Single implantation thoracic artery into coronary artery NEC	Atrial fibrillation			read	2
61073	Transplantation of heart and lung NOS	Atrial fibrillation			read	2
61592	Transection of muscle bridge of coronary artery	Atrial fibrillation			read	2
62608	Double anastom thoracic arteries to coronary arteries NEC	Atrial fibrillation			read	2
67570	Other operations on structure adjacent to valve of heart	Atrial fibrillation			read	2
67591	Single anastomosis of thoracic artery to coronary artery NEC	Atrial fibrillation			read	2
73967	Other specified plastic repair of pulmonary valve	Atrial fibrillation			read	2
89936	Xenograft replacement of pulmonary valve	Atrial fibrillation			read	2
91468	Closure of aortic sinus of Valsalva fistula	Atrial fibrillation			read	2
91886	Transluminal removal of heart assist system	Atrial fibrillation			read	2
92233	RIMA sequential anastomosis	Atrial fibrillation			read	2
93516	Other specified transluminal operations on cardiac conduit	Atrial fibrillation			read	2
95532	Aortoventriculoplasty with pulmonary valve autograft	Atrial fibrillation			read	2
95817	Other specified plastic repair of unspecified valve of heart	Atrial fibrillation			read	2
96316	Closure of tricuspid valve	Atrial fibrillation			read	2
96563	Repair of traumatic injury of heart	Atrial fibrillation			read	2
97443	Open heart assist operations	Atrial fibrillation			read	2
97652	Open operation on conducting system of heart NOS	Atrial fibrillation			read	2
98580	Allograft replacement of tricuspid valve	Atrial fibrillation			read	2
10916	Hanlon creation of defect in atrial septum	Atrial fibrillation			read	2
53626	Allotransplantation of heart and lung	Atrial fibrillation			read	2
59423	Other specified allograft replacement of coronary artery	Atrial fibrillation			read	2
63493	Other specified open specified incision of valve of heart	Atrial fibrillation			read	2
65040	Partial left ventriculectomy	Atrial fibrillation			read	2
67483	Close defect interventricular septum using tissue graft NEC	Atrial fibrillation			read	2
68073	Open enlargement of defect of atrial septum	Atrial fibrillation			read	2
69189	Xenograft replacement of valve of heart NEC	Atrial fibrillation			read	2
72769	Transluminal heart assist operation NOS	Atrial fibrillation			read	2
73029	Correct Fallot tetralogy- right ventric outflow conduit NEC	Atrial fibrillation			read	2
73818	Other specified creation of other cardiac conduit	Atrial fibrillation			read	2
89257	Other specified repair of univentricular heart	Atrial fibrillation			read	2
93844	Revision of transplantation of heart NEC	Atrial fibrillation			read	2
93968	Excision of valve of heart	Atrial fibrillation			read	2
94191	Repair defect of interatrial septum using prosthetic patch	Atrial fibrillation			read	2
94345	Plastic repair of pulmonary valve NOS	Atrial fibrillation			read	2
95755	Repair defect atrioventricular septum prosthetic patch NEC	Atrial fibrillation			read	2
96130	Repair defect interventricular septum us pericardial patch	Atrial fibrillation			read	2
97953	Other specified revision of bypass for coronary artery	Atrial fibrillation			read	2
63153	Revision of implantation of thoracic artery into heart	Atrial fibrillation			read	2
64723	Exploration of heart NEC	Atrial fibrillation			read	2
69021	Atrium reconstruction atrial wall for transpos great vessels	Atrial fibrillation			read	2
70105	Revision of implantation of prosthetic heart	Atrial fibrillation			read	2
70424	Revision of closure of defect of interatrial septum	Atrial fibrillation			read	2
72780	Connection of other thoracic artery to coronary artery NOS	Atrial fibrillation			read	2
72891	Operation on structure adjacent to heart valve OS	Atrial fibrillation			read	2
97560	Cardiac massage - open	Atrial fibrillation			read	2
98783	Xenograft replacement of tricuspid valve	Atrial fibrillation			read	2
94783	Repair of rupture of coronary artery	Atrial fibrillation			read	2
p_K01	Transplantation of heart and lung	Atrial fibrillation			OPCS-4	2
p_K011	Allotransplantation of heart and lung	Atrial fibrillation			OPCS-4	2
p_K012	Revision of transplantation of heart and lung	Atrial fibrillation			OPCS-4	2
p_K018	Other specified transplantation of heart and lung	Atrial fibrillation			OPCS-4	2
p_K019	Unspecified transplantation of heart and lung	Atrial fibrillation			OPCS-4	2
p_K02	Other transplantation of heart	Atrial fibrillation			OPCS-4	2
p_K021	Allotransplantation of heart NEC	Atrial fibrillation			OPCS-4	2
p_K022	Xenotransplantation of heart	Atrial fibrillation			OPCS-4	2
p_K023	Implantation of prosthetic heart	Atrial fibrillation			OPCS-4	2
p_K024	Piggyback transplantation of heart	Atrial fibrillation			OPCS-4	2
p_K025	Revision of implantation of prosthetic heart	Atrial fibrillation			OPCS-4	2
p_K026	Revision of transplantation of heart NEC	Atrial fibrillation			OPCS-4	2
p_K028	Other specified other transplantation of heart	Atrial fibrillation			OPCS-4	2
p_K029	Unspecified other transplantation of heart	Atrial fibrillation			OPCS-4	2
p_K04	Repair of tetralogy of Fallot	Atrial fibrillation			OPCS-4	2
p_K041	Repair of tetralogy of Fallot using valved right ventricular outflow conduit	Atrial fibrillation			OPCS-4	2
p_K042	Repair of tetralogy of Fallot using right ventricular outflow conduit NEC	Atrial fibrillation			OPCS-4	2
p_K043	Repair of tetralogy of Fallot using transannular patch	Atrial fibrillation			OPCS-4	2
p_K044	Revision of repair of tetralogy of Fallot	Atrial fibrillation			OPCS-4	2
p_K045	Repair of tetralogy of Fallot with absent pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K046	Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals	Atrial fibrillation			OPCS-4	2
p_K048	Other specified repair of tetralogy of Fallot	Atrial fibrillation			OPCS-4	2
p_K049	Unspecified repair of tetralogy of Fallot	Atrial fibrillation			OPCS-4	2
p_K05	Atrial inversion operations for transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K051	Reconstruction of atrium using atrial patch for transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K052	Reconstruction of atrium using atrial wall for transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K058	Other specified atrial inversion operations for transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K059	Unspecified atrial inversion operations for transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K06	Other repair of transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K061	Repositioning of transposed great arteries	Atrial fibrillation			OPCS-4	2
p_K062	Left ventricle to aorta tunnel with right ventricle to pulmonary trunk direct anastomosis	Atrial fibrillation			OPCS-4	2
p_K063	Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit	Atrial fibrillation			OPCS-4	2
p_K064	Atrial inversion and repositioning of transposed great artery	Atrial fibrillation			OPCS-4	2
p_K068	Other specified other repair of transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K069	Unspecified other repair of transposition of great arteries	Atrial fibrillation			OPCS-4	2
p_K07	Correction of total anomalous pulmonary venous connection	Atrial fibrillation			OPCS-4	2
p_K071	Correction of total anomalous pulmonary venous connection to supracardiac vessel	Atrial fibrillation			OPCS-4	2
p_K072	Correction of total anomalous pulmonary venous connection to coronary sinus	Atrial fibrillation			OPCS-4	2
p_K073	Correction of total anomalous pulmonary venous connection to infradiaphragmatic vessel	Atrial fibrillation			OPCS-4	2
p_K078	Other specified correction of total anomalous pulmonary venous connection	Atrial fibrillation			OPCS-4	2
p_K079	Unspecified correction of total anomalous pulmonary venous connection	Atrial fibrillation			OPCS-4	2
p_K08	Repair of double outlet ventricle	Atrial fibrillation			OPCS-4	2
p_K081	Repair of double outlet right ventricle with intraventricular tunnel	Atrial fibrillation			OPCS-4	2
p_K082	Repair of Fallot-type double outlet right ventricle	Atrial fibrillation			OPCS-4	2
p_K083	Repair of double outlet right ventricle	Atrial fibrillation			OPCS-4	2
p_K084	Repair of double outlet left ventricle	Atrial fibrillation			OPCS-4	2
p_K088	Other specified repair of double outlet ventricle	Atrial fibrillation			OPCS-4	2
p_K089	Unspecified repair of double outlet ventricle	Atrial fibrillation			OPCS-4	2
p_K09	Repair of defect of atrioventricular septum	Atrial fibrillation			OPCS-4	2
p_K091	Repair of defect of atrioventricular septum using dual prosthetic patches	Atrial fibrillation			OPCS-4	2
p_K092	Repair of defect of atrioventricular septum using prosthetic patch NEC	Atrial fibrillation			OPCS-4	2
p_K093	Repair of defect of atrioventricular septum using tissue graft	Atrial fibrillation			OPCS-4	2
p_K094	Repair of persistent ostium primum	Atrial fibrillation			OPCS-4	2
p_K095	Primary repair of defect of atrioventricular septum NEC	Atrial fibrillation			OPCS-4	2
p_K096	Revision of repair of defect of atrioventricular septum	Atrial fibrillation			OPCS-4	2
p_K098	Other specified repair of defect of atrioventricular septum	Atrial fibrillation			OPCS-4	2
p_K099	Unspecified repair of defect of atrioventricular septum	Atrial fibrillation			OPCS-4	2
p_K10	Repair of defect of interatrial septum	Atrial fibrillation			OPCS-4	2
p_K101	Repair of defect of interatrial septum using prosthetic patch	Atrial fibrillation			OPCS-4	2
p_K102	Repair of defect of interatrial septum using pericardial patch	Atrial fibrillation			OPCS-4	2
p_K103	Repair of defect of interatrial septum using tissue graft NEC	Atrial fibrillation			OPCS-4	2
p_K104	Primary repair of defect of interatrial septum NEC	Atrial fibrillation			OPCS-4	2
p_K105	Revision of repair of defect of interatrial septum	Atrial fibrillation			OPCS-4	2
p_K108	Other specified repair of defect of interatrial septum	Atrial fibrillation			OPCS-4	2
p_K109	Unspecified repair of defect of interatrial septum	Atrial fibrillation			OPCS-4	2
p_K11	Repair of defect of interventricular septum	Atrial fibrillation			OPCS-4	2
p_K111	Repair of defect of interventricular septum using prosthetic patch	Atrial fibrillation			OPCS-4	2
p_K112	Repair of defect of interventricular septum using pericardial patch	Atrial fibrillation			OPCS-4	2
p_K113	Repair of defect of interventricular septum using tissue graft NEC	Atrial fibrillation			OPCS-4	2
p_K114	Primary repair of defect of interventricular septum NEC	Atrial fibrillation			OPCS-4	2
p_K115	Revision of repair of defect of interventricular septum	Atrial fibrillation			OPCS-4	2
p_K116	Repair of multiple interventricular septal defects	Atrial fibrillation			OPCS-4	2
p_K117	Repair of interventricular septal defect using intraoperative transluminal prosthesis	Atrial fibrillation			OPCS-4	2
p_K118	Other specified repair of defect of interventricular septum	Atrial fibrillation			OPCS-4	2
p_K119	Unspecified repair of defect of interventricular septum	Atrial fibrillation			OPCS-4	2
p_K12	Repair of defect of unspecified septum of heart	Atrial fibrillation			OPCS-4	2
p_K121	Repair of defect of septum of heart using prosthetic patch NEC	Atrial fibrillation			OPCS-4	2
p_K122	Repair of defect of septum of heart using pericardial patch NEC	Atrial fibrillation			OPCS-4	2
p_K123	Repair of defect of septum of heart using tissue graft NEC	Atrial fibrillation			OPCS-4	2
p_K124	Primary repair of defect of septum of heart NEC	Atrial fibrillation			OPCS-4	2
p_K125	Revision of repair of septum of heart NEC	Atrial fibrillation			OPCS-4	2
p_K128	Other specified repair of defect of unspecified septum of heart	Atrial fibrillation			OPCS-4	2
p_K129	Unspecified repair of defect of unspecified septum of heart	Atrial fibrillation			OPCS-4	2
p_K14	Other open operations on septum of heart	Atrial fibrillation			OPCS-4	2
p_K141	Open enlargement of defect of atrial septum	Atrial fibrillation			OPCS-4	2
p_K142	Open atrial septostomy	Atrial fibrillation			OPCS-4	2
p_K143	Atrial septectomy	Atrial fibrillation			OPCS-4	2
p_K144	Surgical atrial septation	Atrial fibrillation			OPCS-4	2
p_K145	Open enlargement of defect of interventricular septum	Atrial fibrillation			OPCS-4	2
p_K148	Other specified other open operations on septum of heart	Atrial fibrillation			OPCS-4	2
p_K149	Unspecified other open operations on septum of heart	Atrial fibrillation			OPCS-4	2
p_K15	Closed operations on septum of heart	Atrial fibrillation			OPCS-4	2
p_K151	Closed enlargement of defect of atrial septum	Atrial fibrillation			OPCS-4	2
p_K152	Closed atrial septostomy	Atrial fibrillation			OPCS-4	2
p_K158	Other specified closed operations on septum of heart	Atrial fibrillation			OPCS-4	2
p_K159	Unspecified closed operations on septum of heart	Atrial fibrillation			OPCS-4	2
p_K17	Repair of univentricular heart	Atrial fibrillation			OPCS-4	2
p_K171	Total cavopulmonary connection with extracardiac inferior caval vein to pulmonary artery conduit	Atrial fibrillation			OPCS-4	2
p_K172	Total cavopulmonary connection with lateral atrial tunnel	Atrial fibrillation			OPCS-4	2
p_K173	Aortopulmonary reconstruction with systemic to pulmonary arterial shunt	Atrial fibrillation			OPCS-4	2
p_K174	Aortopulmonary reconstruction with right ventricle to pulmonary arterial valveless conduit	Atrial fibrillation			OPCS-4	2
p_K175	Biventricular repair of hypoplastic left heart syndrome	Atrial fibrillation			OPCS-4	2
p_K176	Takedown of total cavopulmonary connection	Atrial fibrillation			OPCS-4	2
p_K177	Conversion of atrial pulmonary anastomosis to total pulmonary connection	Atrial fibrillation			OPCS-4	2
p_K178	Other specified repair of univentricular heart	Atrial fibrillation			OPCS-4	2
p_K179	Unspecified repair of univentricular heart	Atrial fibrillation			OPCS-4	2
p_K18	Creation of valved cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K181	Creation of valved conduit between atrium and ventricle of heart	Atrial fibrillation			OPCS-4	2
p_K182	Creation of valved conduit between right atrium and pulmonary artery	Atrial fibrillation			OPCS-4	2
p_K183	Creation of valved conduit between right ventricle of heart and pulmonary artery	Atrial fibrillation			OPCS-4	2
p_K184	Creation of valved conduit between left ventricle of heart and aorta	Atrial fibrillation			OPCS-4	2
p_K185	Revision of valved cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K186	Creation of valved conduit between left ventricle of heart and pulmonary artery	Atrial fibrillation			OPCS-4	2
p_K187	Replacement of valved cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K188	Other specified creation of valved cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K189	Unspecified creation of valved cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K19	Creation of other cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K191	Creation of conduit between atrium and ventricle of heart NEC	Atrial fibrillation			OPCS-4	2
p_K192	Creation of conduit between right atrium and pulmonary artery NEC	Atrial fibrillation			OPCS-4	2
p_K193	Creation of conduit between right ventricle of heart and pulmonary artery NEC	Atrial fibrillation			OPCS-4	2
p_K194	Creation of conduit between right ventricle of heart and vena cava	Atrial fibrillation			OPCS-4	2
p_K195	Creation of conduit between left ventricle of heart and aorta NEC	Atrial fibrillation			OPCS-4	2
p_K196	Revision of cardiac conduit NEC	Atrial fibrillation			OPCS-4	2
p_K198	Other specified creation of other cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K199	Unspecified creation of other cardiac conduit	Atrial fibrillation			OPCS-4	2
p_K20	Refashioning of atrium	Atrial fibrillation			OPCS-4	2
p_K201	Correction of persistent sinus venosus	Atrial fibrillation			OPCS-4	2
p_K202	Correction of partial anomalous pulmonary venous drainage	Atrial fibrillation			OPCS-4	2
p_K203	Repair of cor triatriatum	Atrial fibrillation			OPCS-4	2
p_K204	Repair of coronary sinus abnormality	Atrial fibrillation			OPCS-4	2
p_K208	Other specified refashioning of atrium	Atrial fibrillation			OPCS-4	2
p_K209	Unspecified refashioning of atrium	Atrial fibrillation			OPCS-4	2
p_K22	Other operations on wall of atrium	Atrial fibrillation			OPCS-4	2
p_K221	Excision of lesion of atrium	Atrial fibrillation			OPCS-4	2
p_K222	Repair of atrium NEC	Atrial fibrillation			OPCS-4	2
p_K228	Other specified other operations on wall of atrium	Atrial fibrillation			OPCS-4	2
p_K229	Unspecified other operations on wall of atrium	Atrial fibrillation			OPCS-4	2
p_K23	Other operations of wall of heart	Atrial fibrillation			OPCS-4	2
p_K231	Excision of lesion of wall of heart NEC	Atrial fibrillation			OPCS-4	2
p_K232	Biopsy of lesion of wall of heart	Atrial fibrillation			OPCS-4	2
p_K233	Repair of wall of heart NEC	Atrial fibrillation			OPCS-4	2
p_K234	Revascularisation of wall of heart	Atrial fibrillation			OPCS-4	2
p_K235	Partial left ventriculectomy	Atrial fibrillation			OPCS-4	2
p_K236	Cardiomyoplasty	Atrial fibrillation			OPCS-4	2
p_K238	Other specified other operations of wall of heart	Atrial fibrillation			OPCS-4	2
p_K239	Unspecified other operations of wall of heart	Atrial fibrillation			OPCS-4	2
p_K24	Other operations on ventricles of heart	Atrial fibrillation			OPCS-4	2
p_K241	Relief of right ventricular outflow tract obstruction	Atrial fibrillation			OPCS-4	2
p_K242	Repair of double chambered right ventricle	Atrial fibrillation			OPCS-4	2
p_K243	Repair of right ventricular aneurysm	Atrial fibrillation			OPCS-4	2
p_K244	Repair of left ventricular aneurysm	Atrial fibrillation			OPCS-4	2
p_K245	Relief of left ventricular outflow tract obstruction	Atrial fibrillation			OPCS-4	2
p_K246	Myectomy of left ventricular outflow tract	Atrial fibrillation			OPCS-4	2
p_K247	Myotomy of left ventricular outflow tract	Atrial fibrillation			OPCS-4	2
p_K248	Other specified other operations on ventricles of heart	Atrial fibrillation			OPCS-4	2
p_K249	Unspecified other operations on ventricles of heart	Atrial fibrillation			OPCS-4	2
p_K25	Plastic repair of mitral valve	Atrial fibrillation			OPCS-4	2
p_K251	Allograft replacement of mitral valve	Atrial fibrillation			OPCS-4	2
p_K252	Xenograft replacement of mitral valve	Atrial fibrillation			OPCS-4	2
p_K253	Prosthetic replacement of mitral valve	Atrial fibrillation			OPCS-4	2
p_K254	Replacement of mitral valve NEC	Atrial fibrillation			OPCS-4	2
p_K255	Mitral valve repair NEC	Atrial fibrillation			OPCS-4	2
p_K258	Other specified plastic repair of mitral valve	Atrial fibrillation			OPCS-4	2
p_K259	Unspecified plastic repair of mitral valve	Atrial fibrillation			OPCS-4	2
p_K26	Plastic repair of aortic valve	Atrial fibrillation			OPCS-4	2
p_K261	Allograft replacement of aortic valve	Atrial fibrillation			OPCS-4	2
p_K262	Xenograft replacement of aortic valve	Atrial fibrillation			OPCS-4	2
p_K263	Prosthetic replacement of aortic valve	Atrial fibrillation			OPCS-4	2
p_K264	Replacement of aortic valve NEC	Atrial fibrillation			OPCS-4	2
p_K265	Aortic valve repair NEC	Atrial fibrillation			OPCS-4	2
p_K268	Other specified plastic repair of aortic valve	Atrial fibrillation			OPCS-4	2
p_K269	Unspecified plastic repair of aortic valve	Atrial fibrillation			OPCS-4	2
p_K27	Plastic repair of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K271	Allograft replacement of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K272	Xenograft replacement of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K273	Prosthetic replacement of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K274	Replacement of tricuspid valve NEC	Atrial fibrillation			OPCS-4	2
p_K275	Repositioning of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K276	Tricuspid valve repair NEC	Atrial fibrillation			OPCS-4	2
p_K278	Other specified plastic repair of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K279	Unspecified plastic repair of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K28	Plastic repair of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K281	Allograft replacement of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K282	Xenograft replacement of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K283	Prosthetic replacement of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K284	Replacement of pulmonary valve NEC	Atrial fibrillation			OPCS-4	2
p_K285	Pulmonary valve repair NEC	Atrial fibrillation			OPCS-4	2
p_K288	Other specified plastic repair of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K289	Unspecified plastic repair of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K29	Plastic repair of unspecified valve of heart	Atrial fibrillation			OPCS-4	2
p_K291	Allograft replacement of valve of heart NEC	Atrial fibrillation			OPCS-4	2
p_K292	Xenograft replacement of valve of heart NEC	Atrial fibrillation			OPCS-4	2
p_K293	Prosthetic replacement of valve of heart NEC	Atrial fibrillation			OPCS-4	2
p_K294	Replacement of valve of heart NEC	Atrial fibrillation			OPCS-4	2
p_K295	Repair of valve of heart NEC	Atrial fibrillation			OPCS-4	2
p_K296	Truncal valve repair	Atrial fibrillation			OPCS-4	2
p_K297	Replacement of truncal valve	Atrial fibrillation			OPCS-4	2
p_K298	Other specified plastic repair of unspecified valve of heart	Atrial fibrillation			OPCS-4	2
p_K299	Unspecified plastic repair of unspecified valve of heart	Atrial fibrillation			OPCS-4	2
p_K30	Revision of plastic repair of valve of heart	Atrial fibrillation			OPCS-4	2
p_K301	Revision of plastic repair of mitral valve	Atrial fibrillation			OPCS-4	2
p_K302	Revision of plastic repair of aortic valve	Atrial fibrillation			OPCS-4	2
p_K303	Revision of plastic repair of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K304	Revision of plastic repair of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K305	Revision of plastic repair of truncal valve	Atrial fibrillation			OPCS-4	2
p_K308	Other specified revision of plastic repair of valve of heart	Atrial fibrillation			OPCS-4	2
p_K309	Unspecified revision of plastic repair of valve of heart	Atrial fibrillation			OPCS-4	2
p_K31	Open incision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K311	Open mitral valvotomy	Atrial fibrillation			OPCS-4	2
p_K312	Open aortic valvotomy	Atrial fibrillation			OPCS-4	2
p_K313	Open tricuspid valvotomy	Atrial fibrillation			OPCS-4	2
p_K314	Open pulmonary valvotomy	Atrial fibrillation			OPCS-4	2
p_K315	Open truncal valvotomy	Atrial fibrillation			OPCS-4	2
p_K318	Other specified open incision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K319	Unspecified open incision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K32	Closed incision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K321	Closed mitral valvotomy	Atrial fibrillation			OPCS-4	2
p_K322	Closed aortic valvotomy	Atrial fibrillation			OPCS-4	2
p_K323	Closed tricuspid valvotomy	Atrial fibrillation			OPCS-4	2
p_K324	Closed pulmonary valvotomy	Atrial fibrillation			OPCS-4	2
p_K328	Other specified closed incision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K329	Unspecified closed incision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K33	Operations on aortic root	Atrial fibrillation			OPCS-4	2
p_K331	Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit	Atrial fibrillation			OPCS-4	2
p_K332	Aortic root replacement using pulmonary valve autograft with right ventricle to pulmonary artery valved conduit and aortoventriculoplasty	Atrial fibrillation			OPCS-4	2
p_K333	Aortic root replacement using homograft	Atrial fibrillation			OPCS-4	2
p_K334	Aortic root replacement using mechanical prosthesis	Atrial fibrillation			OPCS-4	2
p_K335	Aortic root replacement NEC	Atrial fibrillation			OPCS-4	2
p_K336	Aortoventriculoplasty with pulmonary valve autograft	Atrial fibrillation			OPCS-4	2
p_K338	Other specified operations on aortic root	Atrial fibrillation			OPCS-4	2
p_K339	Unspecified operations on aortic root	Atrial fibrillation			OPCS-4	2
p_K34	Other open operations on valve of heart	Atrial fibrillation			OPCS-4	2
p_K341	Annuloplasty of mitral valve	Atrial fibrillation			OPCS-4	2
p_K342	Annuloplasty of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K343	Annuloplasty of valve of heart NEC	Atrial fibrillation			OPCS-4	2
p_K344	Excision of vegetations of valve of heart	Atrial fibrillation			OPCS-4	2
p_K345	Closure of tricuspid valve	Atrial fibrillation			OPCS-4	2
p_K346	Closure of pulmonary valve	Atrial fibrillation			OPCS-4	2
p_K348	Other specified other open operations on valve of heart	Atrial fibrillation			OPCS-4	2
p_K349	Unspecified other open operations on valve of heart	Atrial fibrillation			OPCS-4	2
p_K36	Excision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K361	Tricuspid valvectomy	Atrial fibrillation			OPCS-4	2
p_K362	Pulmonary valvectomy	Atrial fibrillation			OPCS-4	2
p_K368	Other specified excision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K369	Unspecified excision of valve of heart	Atrial fibrillation			OPCS-4	2
p_K37	Removal of obstruction from structure adjacent to valve of heart	Atrial fibrillation			OPCS-4	2
p_K371	Infundibulectomy of heart using patch	Atrial fibrillation			OPCS-4	2
p_K372	Infundibulectomy of heart NEC	Atrial fibrillation			OPCS-4	2
p_K373	Repair of subaortic stenosis	Atrial fibrillation			OPCS-4	2
p_K374	Repair of supra-aortic stenosis	Atrial fibrillation			OPCS-4	2
p_K375	Excision of supramitral ring	Atrial fibrillation			OPCS-4	2
p_K376	Aortoventriculoplasty	Atrial fibrillation			OPCS-4	2
p_K378	Other specified removal of obstruction from structure adjacent to valve of heart	Atrial fibrillation			OPCS-4	2
p_K379	Unspecified removal of obstruction from structure adjacent to valve of heart	Atrial fibrillation			OPCS-4	2
p_K38	Other operations on structure adjacent to valve of heart	Atrial fibrillation			OPCS-4	2
p_K381	Operations on papillary muscle	Atrial fibrillation			OPCS-4	2
p_K382	Operations on chordae tendineae	Atrial fibrillation			OPCS-4	2
p_K383	Operations on mitral subvalvar apparatus	Atrial fibrillation			OPCS-4	2
p_K384	Closure of aorto-left ventricular tunnel	Atrial fibrillation			OPCS-4	2
p_K385	Closure of aortic sinus of Valsalva fistula	Atrial fibrillation			OPCS-4	2
p_K386	Repair of aortic sinus of Valsalva aneurysm	Atrial fibrillation			OPCS-4	2
p_K388	Other specified other operations on structure adjacent to valve of heart	Atrial fibrillation			OPCS-4	2
p_K389	Unspecified other operations on structure adjacent to valve of heart	Atrial fibrillation			OPCS-4	2
p_K40	Saphenous vein graft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K401	Saphenous vein graft replacement of one coronary artery	Atrial fibrillation			OPCS-4	2
p_K402	Saphenous vein graft replacement of two coronary arteries	Atrial fibrillation			OPCS-4	2
p_K403	Saphenous vein graft replacement of three coronary arteries	Atrial fibrillation			OPCS-4	2
p_K404	Saphenous vein graft replacement of four or more coronary arteries	Atrial fibrillation			OPCS-4	2
p_K408	Other specified saphenous vein graft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K409	Unspecified saphenous vein graft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K41	Other autograft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K411	Autograft replacement of one coronary artery NEC	Atrial fibrillation			OPCS-4	2
p_K412	Autograft replacement of two coronary arteries NEC	Atrial fibrillation			OPCS-4	2
p_K413	Autograft replacement of three coronary arteries NEC	Atrial fibrillation			OPCS-4	2
p_K414	Autograft replacement of four or more coronary arteries NEC	Atrial fibrillation			OPCS-4	2
p_K418	Other specified other autograft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K419	Unspecified other autograft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K42	Allograft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K421	Allograft replacement of one coronary artery	Atrial fibrillation			OPCS-4	2
p_K422	Allograft replacement of two coronary arteries	Atrial fibrillation			OPCS-4	2
p_K423	Allograft replacement of three coronary arteries	Atrial fibrillation			OPCS-4	2
p_K424	Allograft replacement of four or more coronary arteries	Atrial fibrillation			OPCS-4	2
p_K428	Other specified allograft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K429	Unspecified allograft replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K43	Prosthetic replacement of coronary artery	Atrial fibrillation			OPCS-4	2
p_K431	Prosthetic replacement of one coronary artery	Atrial fibrillation			OPCS-4	2
p_K432	Prosthetic replacement of two coronary arteries	Atrial fibrillation			OPCS-4	2
p_K433	Prosthetic replacement of three coronary arteries	Atrial fibrillation			OPCS-4	2
p_K434	Prosthetic replacement of four or more coronary arteries	Atrial fibrillation			OPCS-4	2
