medcode,code_orginal,Cause,system
M4298,M4298,Other musculoskeletal disorders,ICD-10
M4299,M4299,Other musculoskeletal disorders,ICD-10
M43,M43,Other musculoskeletal disorders,ICD-10
M430,M430,Other musculoskeletal disorders,ICD-10
M4300,M4300,Other musculoskeletal disorders,ICD-10
M4301,M4301,Other musculoskeletal disorders,ICD-10
M4302,M4302,Other musculoskeletal disorders,ICD-10
M4303,M4303,Other musculoskeletal disorders,ICD-10
M4304,M4304,Other musculoskeletal disorders,ICD-10
M4305,M4305,Other musculoskeletal disorders,ICD-10
M4306,M4306,Other musculoskeletal disorders,ICD-10
M4307,M4307,Other musculoskeletal disorders,ICD-10
M4308,M4308,Other musculoskeletal disorders,ICD-10
M4309,M4309,Other musculoskeletal disorders,ICD-10
M431,M431,Other musculoskeletal disorders,ICD-10
M4310,M4310,Other musculoskeletal disorders,ICD-10
M4311,M4311,Other musculoskeletal disorders,ICD-10
M4312,M4312,Other musculoskeletal disorders,ICD-10
M4313,M4313,Other musculoskeletal disorders,ICD-10
M4314,M4314,Other musculoskeletal disorders,ICD-10
M4315,M4315,Other musculoskeletal disorders,ICD-10
M4316,M4316,Other musculoskeletal disorders,ICD-10
M4317,M4317,Other musculoskeletal disorders,ICD-10
M4318,M4318,Other musculoskeletal disorders,ICD-10
M4319,M4319,Other musculoskeletal disorders,ICD-10
M432,M432,Other musculoskeletal disorders,ICD-10
M4320,M4320,Other musculoskeletal disorders,ICD-10
M4321,M4321,Other musculoskeletal disorders,ICD-10
M4322,M4322,Other musculoskeletal disorders,ICD-10
M4323,M4323,Other musculoskeletal disorders,ICD-10
M4324,M4324,Other musculoskeletal disorders,ICD-10
M4325,M4325,Other musculoskeletal disorders,ICD-10
M4326,M4326,Other musculoskeletal disorders,ICD-10
M4327,M4327,Other musculoskeletal disorders,ICD-10
M4328,M4328,Other musculoskeletal disorders,ICD-10
M4329,M4329,Other musculoskeletal disorders,ICD-10
M433,M433,Other musculoskeletal disorders,ICD-10
M4330,M4330,Other musculoskeletal disorders,ICD-10
M4331,M4331,Other musculoskeletal disorders,ICD-10
M4332,M4332,Other musculoskeletal disorders,ICD-10
M4333,M4333,Other musculoskeletal disorders,ICD-10
M4334,M4334,Other musculoskeletal disorders,ICD-10
M4335,M4335,Other musculoskeletal disorders,ICD-10
M4336,M4336,Other musculoskeletal disorders,ICD-10
M4337,M4337,Other musculoskeletal disorders,ICD-10
M4338,M4338,Other musculoskeletal disorders,ICD-10
M4339,M4339,Other musculoskeletal disorders,ICD-10
M434,M434,Other musculoskeletal disorders,ICD-10
M435,M435,Other musculoskeletal disorders,ICD-10
M4350,M4350,Other musculoskeletal disorders,ICD-10
M4352,M4352,Other musculoskeletal disorders,ICD-10
M4353,M4353,Other musculoskeletal disorders,ICD-10
M4354,M4354,Other musculoskeletal disorders,ICD-10
M4355,M4355,Other musculoskeletal disorders,ICD-10
M4356,M4356,Other musculoskeletal disorders,ICD-10
M4357,M4357,Other musculoskeletal disorders,ICD-10
M4358,M4358,Other musculoskeletal disorders,ICD-10
M4359,M4359,Other musculoskeletal disorders,ICD-10
M436,M436,Other musculoskeletal disorders,ICD-10
M438,M438,Other musculoskeletal disorders,ICD-10
M4380,M4380,Other musculoskeletal disorders,ICD-10
M4381,M4381,Other musculoskeletal disorders,ICD-10
M4382,M4382,Other musculoskeletal disorders,ICD-10
M4383,M4383,Other musculoskeletal disorders,ICD-10
M4384,M4384,Other musculoskeletal disorders,ICD-10
M4385,M4385,Other musculoskeletal disorders,ICD-10
M4386,M4386,Other musculoskeletal disorders,ICD-10
M4387,M4387,Other musculoskeletal disorders,ICD-10
M4388,M4388,Other musculoskeletal disorders,ICD-10
M4389,M4389,Other musculoskeletal disorders,ICD-10
M439,M439,Other musculoskeletal disorders,ICD-10
M4390,M4390,Other musculoskeletal disorders,ICD-10
M4391,M4391,Other musculoskeletal disorders,ICD-10
M4392,M4392,Other musculoskeletal disorders,ICD-10
M4393,M4393,Other musculoskeletal disorders,ICD-10
M4394,M4394,Other musculoskeletal disorders,ICD-10
M4395,M4395,Other musculoskeletal disorders,ICD-10
M4396,M4396,Other musculoskeletal disorders,ICD-10
M4397,M4397,Other musculoskeletal disorders,ICD-10
M4398,M4398,Other musculoskeletal disorders,ICD-10
M4399,M4399,Other musculoskeletal disorders,ICD-10
M45X,M45X,Other musculoskeletal disorders,ICD-10
M45X0,M45X0,Other musculoskeletal disorders,ICD-10
M45X1,M45X1,Other musculoskeletal disorders,ICD-10
M45X2,M45X2,Other musculoskeletal disorders,ICD-10
M45X3,M45X3,Other musculoskeletal disorders,ICD-10
M45X4,M45X4,Other musculoskeletal disorders,ICD-10
M45X5,M45X5,Other musculoskeletal disorders,ICD-10
M45X6,M45X6,Other musculoskeletal disorders,ICD-10
M45X7,M45X7,Other musculoskeletal disorders,ICD-10
M45X8,M45X8,Other musculoskeletal disorders,ICD-10
M45X9,M45X9,Other musculoskeletal disorders,ICD-10
M46,M46,Other musculoskeletal disorders,ICD-10
M460,M460,Other musculoskeletal disorders,ICD-10
M4600,M4600,Other musculoskeletal disorders,ICD-10
M4601,M4601,Other musculoskeletal disorders,ICD-10
M4602,M4602,Other musculoskeletal disorders,ICD-10
M4603,M4603,Other musculoskeletal disorders,ICD-10
M4604,M4604,Other musculoskeletal disorders,ICD-10
M4605,M4605,Other musculoskeletal disorders,ICD-10
M4606,M4606,Other musculoskeletal disorders,ICD-10
M4607,M4607,Other musculoskeletal disorders,ICD-10
M4608,M4608,Other musculoskeletal disorders,ICD-10
M4609,M4609,Other musculoskeletal disorders,ICD-10
M461,M461,Other musculoskeletal disorders,ICD-10
M462,M462,Other musculoskeletal disorders,ICD-10
M4620,M4620,Other musculoskeletal disorders,ICD-10
M4621,M4621,Other musculoskeletal disorders,ICD-10
M4622,M4622,Other musculoskeletal disorders,ICD-10
M4623,M4623,Other musculoskeletal disorders,ICD-10
M4624,M4624,Other musculoskeletal disorders,ICD-10
M4625,M4625,Other musculoskeletal disorders,ICD-10
M4626,M4626,Other musculoskeletal disorders,ICD-10
M4627,M4627,Other musculoskeletal disorders,ICD-10
M4628,M4628,Other musculoskeletal disorders,ICD-10
M4629,M4629,Other musculoskeletal disorders,ICD-10
M463,M463,Other musculoskeletal disorders,ICD-10
M4630,M4630,Other musculoskeletal disorders,ICD-10
M4631,M4631,Other musculoskeletal disorders,ICD-10
M4632,M4632,Other musculoskeletal disorders,ICD-10
M4633,M4633,Other musculoskeletal disorders,ICD-10
M4634,M4634,Other musculoskeletal disorders,ICD-10
M4635,M4635,Other musculoskeletal disorders,ICD-10
M4636,M4636,Other musculoskeletal disorders,ICD-10
M4637,M4637,Other musculoskeletal disorders,ICD-10
M4638,M4638,Other musculoskeletal disorders,ICD-10
M4639,M4639,Other musculoskeletal disorders,ICD-10
M464,M464,Other musculoskeletal disorders,ICD-10
M4640,M4640,Other musculoskeletal disorders,ICD-10
M4641,M4641,Other musculoskeletal disorders,ICD-10
M4642,M4642,Other musculoskeletal disorders,ICD-10
M4643,M4643,Other musculoskeletal disorders,ICD-10
M4644,M4644,Other musculoskeletal disorders,ICD-10
M4645,M4645,Other musculoskeletal disorders,ICD-10
M4646,M4646,Other musculoskeletal disorders,ICD-10
M4647,M4647,Other musculoskeletal disorders,ICD-10
M4648,M4648,Other musculoskeletal disorders,ICD-10
M4649,M4649,Other musculoskeletal disorders,ICD-10
M465,M465,Other musculoskeletal disorders,ICD-10
M4650,M4650,Other musculoskeletal disorders,ICD-10
M4651,M4651,Other musculoskeletal disorders,ICD-10
M4652,M4652,Other musculoskeletal disorders,ICD-10
M4653,M4653,Other musculoskeletal disorders,ICD-10
M4654,M4654,Other musculoskeletal disorders,ICD-10
M4655,M4655,Other musculoskeletal disorders,ICD-10
M4656,M4656,Other musculoskeletal disorders,ICD-10
M4657,M4657,Other musculoskeletal disorders,ICD-10
M4658,M4658,Other musculoskeletal disorders,ICD-10
M4659,M4659,Other musculoskeletal disorders,ICD-10
M468,M468,Other musculoskeletal disorders,ICD-10
M4680,M4680,Other musculoskeletal disorders,ICD-10
M4681,M4681,Other musculoskeletal disorders,ICD-10
M4682,M4682,Other musculoskeletal disorders,ICD-10
M4683,M4683,Other musculoskeletal disorders,ICD-10
M4684,M4684,Other musculoskeletal disorders,ICD-10
M4685,M4685,Other musculoskeletal disorders,ICD-10
M4686,M4686,Other musculoskeletal disorders,ICD-10
M4687,M4687,Other musculoskeletal disorders,ICD-10
M4688,M4688,Other musculoskeletal disorders,ICD-10
M4689,M4689,Other musculoskeletal disorders,ICD-10
M469,M469,Other musculoskeletal disorders,ICD-10
M4690,M4690,Other musculoskeletal disorders,ICD-10
M4691,M4691,Other musculoskeletal disorders,ICD-10
M4692,M4692,Other musculoskeletal disorders,ICD-10
M4693,M4693,Other musculoskeletal disorders,ICD-10
M4694,M4694,Other musculoskeletal disorders,ICD-10
M4695,M4695,Other musculoskeletal disorders,ICD-10
M4696,M4696,Other musculoskeletal disorders,ICD-10
M4697,M4697,Other musculoskeletal disorders,ICD-10
M4698,M4698,Other musculoskeletal disorders,ICD-10
M4699,M4699,Other musculoskeletal disorders,ICD-10
M47,M47,Other musculoskeletal disorders,ICD-10
M470,M470,Other musculoskeletal disorders,ICD-10
M4700,M4700,Other musculoskeletal disorders,ICD-10
M4704,M4704,Other musculoskeletal disorders,ICD-10
M4704,M4704,Other musculoskeletal disorders,ICD-10
M4705,M4705,Other musculoskeletal disorders,ICD-10
M471,M471,Other musculoskeletal disorders,ICD-10
M4710,M4710,Other musculoskeletal disorders,ICD-10
M472,M472,Other musculoskeletal disorders,ICD-10
M4720,M4720,Other musculoskeletal disorders,ICD-10
M4789,M4789,Other musculoskeletal disorders,ICD-10
M478,M478,Other musculoskeletal disorders,ICD-10
M4780,M4780,Other musculoskeletal disorders,ICD-10
M479,M479,Other musculoskeletal disorders,ICD-10
M4790,M4790,Other musculoskeletal disorders,ICD-10
M4794,M4794,Other musculoskeletal disorders,ICD-10
M4799,M4799,Other musculoskeletal disorders,ICD-10
M48,M48,Other musculoskeletal disorders,ICD-10
M480,M480,Other musculoskeletal disorders,ICD-10
M4800,M4800,Other musculoskeletal disorders,ICD-10
M4804,M4804,Other musculoskeletal disorders,ICD-10
M481,M481,Other musculoskeletal disorders,ICD-10
M4810,M4810,Other musculoskeletal disorders,ICD-10
M4811,M4811,Other musculoskeletal disorders,ICD-10
M482,M482,Other musculoskeletal disorders,ICD-10
M4820,M4820,Other musculoskeletal disorders,ICD-10
M484,M484,Other musculoskeletal disorders,ICD-10
M4840,M4840,Other musculoskeletal disorders,ICD-10
M485,M485,Other musculoskeletal disorders,ICD-10
M4850,M4850,Other musculoskeletal disorders,ICD-10
M488,M488,Other musculoskeletal disorders,ICD-10
M4880,M4880,Other musculoskeletal disorders,ICD-10
M4881,M4881,Other musculoskeletal disorders,ICD-10
M4882,M4882,Other musculoskeletal disorders,ICD-10
M4883,M4883,Other musculoskeletal disorders,ICD-10
M4884,M4884,Other musculoskeletal disorders,ICD-10
M4885,M4885,Other musculoskeletal disorders,ICD-10
M4886,M4886,Other musculoskeletal disorders,ICD-10
M4887,M4887,Other musculoskeletal disorders,ICD-10
M4888,M4888,Other musculoskeletal disorders,ICD-10
M4889,M4889,Other musculoskeletal disorders,ICD-10
M489,M489,Other musculoskeletal disorders,ICD-10
M4890,M4890,Other musculoskeletal disorders,ICD-10
M4891,M4891,Other musculoskeletal disorders,ICD-10
M4892,M4892,Other musculoskeletal disorders,ICD-10
M4893,M4893,Other musculoskeletal disorders,ICD-10
M4894,M4894,Other musculoskeletal disorders,ICD-10
M4895,M4895,Other musculoskeletal disorders,ICD-10
M4896,M4896,Other musculoskeletal disorders,ICD-10
M4897,M4897,Other musculoskeletal disorders,ICD-10
M4898,M4898,Other musculoskeletal disorders,ICD-10
M4899,M4899,Other musculoskeletal disorders,ICD-10
M49,M49,Other musculoskeletal disorders,ICD-10
M490,M490,Other musculoskeletal disorders,ICD-10
M4900,M4900,Other musculoskeletal disorders,ICD-10
M4901,M4901,Other musculoskeletal disorders,ICD-10
M4902,M4902,Other musculoskeletal disorders,ICD-10
M4903,M4903,Other musculoskeletal disorders,ICD-10
M4904,M4904,Other musculoskeletal disorders,ICD-10
M4905,M4905,Other musculoskeletal disorders,ICD-10
M4906,M4906,Other musculoskeletal disorders,ICD-10
M4907,M4907,Other musculoskeletal disorders,ICD-10
M4908,M4908,Other musculoskeletal disorders,ICD-10
M4909,M4909,Other musculoskeletal disorders,ICD-10
M491,M491,Other musculoskeletal disorders,ICD-10
M492,M492,Other musculoskeletal disorders,ICD-10
M4920,M4920,Other musculoskeletal disorders,ICD-10
M4921,M4921,Other musculoskeletal disorders,ICD-10
M4922,M4922,Other musculoskeletal disorders,ICD-10
M4923,M4923,Other musculoskeletal disorders,ICD-10
M4924,M4924,Other musculoskeletal disorders,ICD-10
M4925,M4925,Other musculoskeletal disorders,ICD-10
M4926,M4926,Other musculoskeletal disorders,ICD-10
M4927,M4927,Other musculoskeletal disorders,ICD-10
M4928,M4928,Other musculoskeletal disorders,ICD-10
M4929,M4929,Other musculoskeletal disorders,ICD-10
M493,M493,Other musculoskeletal disorders,ICD-10
M4930,M4930,Other musculoskeletal disorders,ICD-10
M4931,M4931,Other musculoskeletal disorders,ICD-10
M4932,M4932,Other musculoskeletal disorders,ICD-10
M4933,M4933,Other musculoskeletal disorders,ICD-10
M4934,M4934,Other musculoskeletal disorders,ICD-10
M4935,M4935,Other musculoskeletal disorders,ICD-10
M4936,M4936,Other musculoskeletal disorders,ICD-10
M4937,M4937,Other musculoskeletal disorders,ICD-10
M4938,M4938,Other musculoskeletal disorders,ICD-10
M4939,M4939,Other musculoskeletal disorders,ICD-10
M494,M494,Other musculoskeletal disorders,ICD-10
M4940,M4940,Other musculoskeletal disorders,ICD-10
M4941,M4941,Other musculoskeletal disorders,ICD-10
M4942,M4942,Other musculoskeletal disorders,ICD-10
M4943,M4943,Other musculoskeletal disorders,ICD-10
M4944,M4944,Other musculoskeletal disorders,ICD-10
M4945,M4945,Other musculoskeletal disorders,ICD-10
M4946,M4946,Other musculoskeletal disorders,ICD-10
M4947,M4947,Other musculoskeletal disorders,ICD-10
M4948,M4948,Other musculoskeletal disorders,ICD-10
M4949,M4949,Other musculoskeletal disorders,ICD-10
M495,M495,Other musculoskeletal disorders,ICD-10
M4950,M4950,Other musculoskeletal disorders,ICD-10
M4951,M4951,Other musculoskeletal disorders,ICD-10
M4952,M4952,Other musculoskeletal disorders,ICD-10
M4953,M4953,Other musculoskeletal disorders,ICD-10
M4954,M4954,Other musculoskeletal disorders,ICD-10
M4955,M4955,Other musculoskeletal disorders,ICD-10
M4956,M4956,Other musculoskeletal disorders,ICD-10
M4957,M4957,Other musculoskeletal disorders,ICD-10
M4958,M4958,Other musculoskeletal disorders,ICD-10
M4959,M4959,Other musculoskeletal disorders,ICD-10
M498,M498,Other musculoskeletal disorders,ICD-10
M4980,M4980,Other musculoskeletal disorders,ICD-10
M519,M519,Other musculoskeletal disorders,ICD-10
M51,M51,Other musculoskeletal disorders,ICD-10
M53,M53,Other musculoskeletal disorders,ICD-10
M532,M532,Other musculoskeletal disorders,ICD-10
M5320,M5320,Other musculoskeletal disorders,ICD-10
M5321,M5321,Other musculoskeletal disorders,ICD-10
M5322,M5322,Other musculoskeletal disorders,ICD-10
M5323,M5323,Other musculoskeletal disorders,ICD-10
M5324,M5324,Other musculoskeletal disorders,ICD-10
M5325,M5325,Other musculoskeletal disorders,ICD-10
M5326,M5326,Other musculoskeletal disorders,ICD-10
M5327,M5327,Other musculoskeletal disorders,ICD-10
M5328,M5328,Other musculoskeletal disorders,ICD-10
M5329,M5329,Other musculoskeletal disorders,ICD-10
M539,M539,Other musculoskeletal disorders,ICD-10
M5390,M5390,Other musculoskeletal disorders,ICD-10
M5391,M5391,Other musculoskeletal disorders,ICD-10
M5392,M5392,Other musculoskeletal disorders,ICD-10
M5393,M5393,Other musculoskeletal disorders,ICD-10
M5394,M5394,Other musculoskeletal disorders,ICD-10
M5395,M5395,Other musculoskeletal disorders,ICD-10
M5396,M5396,Other musculoskeletal disorders,ICD-10
M5397,M5397,Other musculoskeletal disorders,ICD-10
M5398,M5398,Other musculoskeletal disorders,ICD-10
M5399,M5399,Other musculoskeletal disorders,ICD-10
M54,M54,Other musculoskeletal disorders,ICD-10
M541,M541,Other musculoskeletal disorders,ICD-10
M5410,M5410,Other musculoskeletal disorders,ICD-10
M546,M546,Other musculoskeletal disorders,ICD-10
M5460,M5460,Other musculoskeletal disorders,ICD-10
M5463,M5463,Other musculoskeletal disorders,ICD-10
M5464,M5464,Other musculoskeletal disorders,ICD-10
M5465,M5465,Other musculoskeletal disorders,ICD-10
M548,M548,Other musculoskeletal disorders,ICD-10
M5489,M5489,Other musculoskeletal disorders,ICD-10
M549,M549,Other musculoskeletal disorders,ICD-10
M61,M61,Other musculoskeletal disorders,ICD-10
M610,M610,Other musculoskeletal disorders,ICD-10
M6100,M6100,Other musculoskeletal disorders,ICD-10
M6101,M6101,Other musculoskeletal disorders,ICD-10
M6102,M6102,Other musculoskeletal disorders,ICD-10
M6103,M6103,Other musculoskeletal disorders,ICD-10
M6104,M6104,Other musculoskeletal disorders,ICD-10
M6105,M6105,Other musculoskeletal disorders,ICD-10
M6106,M6106,Other musculoskeletal disorders,ICD-10
M6107,M6107,Other musculoskeletal disorders,ICD-10
M6108,M6108,Other musculoskeletal disorders,ICD-10
M6109,M6109,Other musculoskeletal disorders,ICD-10
M611,M611,Other musculoskeletal disorders,ICD-10
M6110,M6110,Other musculoskeletal disorders,ICD-10
M6111,M6111,Other musculoskeletal disorders,ICD-10
M6112,M6112,Other musculoskeletal disorders,ICD-10
M6113,M6113,Other musculoskeletal disorders,ICD-10
M6114,M6114,Other musculoskeletal disorders,ICD-10
M6115,M6115,Other musculoskeletal disorders,ICD-10
M6116,M6116,Other musculoskeletal disorders,ICD-10
M6117,M6117,Other musculoskeletal disorders,ICD-10
M6118,M6118,Other musculoskeletal disorders,ICD-10
M6119,M6119,Other musculoskeletal disorders,ICD-10
M612,M612,Other musculoskeletal disorders,ICD-10
M6120,M6120,Other musculoskeletal disorders,ICD-10
M6121,M6121,Other musculoskeletal disorders,ICD-10
M6122,M6122,Other musculoskeletal disorders,ICD-10
M6123,M6123,Other musculoskeletal disorders,ICD-10
M6124,M6124,Other musculoskeletal disorders,ICD-10
M6125,M6125,Other musculoskeletal disorders,ICD-10
M6126,M6126,Other musculoskeletal disorders,ICD-10
M6127,M6127,Other musculoskeletal disorders,ICD-10
M6128,M6128,Other musculoskeletal disorders,ICD-10
M6129,M6129,Other musculoskeletal disorders,ICD-10
M613,M613,Other musculoskeletal disorders,ICD-10
M6130,M6130,Other musculoskeletal disorders,ICD-10
M6131,M6131,Other musculoskeletal disorders,ICD-10
M6132,M6132,Other musculoskeletal disorders,ICD-10
M6133,M6133,Other musculoskeletal disorders,ICD-10
M6134,M6134,Other musculoskeletal disorders,ICD-10
M6135,M6135,Other musculoskeletal disorders,ICD-10
M6136,M6136,Other musculoskeletal disorders,ICD-10
M6137,M6137,Other musculoskeletal disorders,ICD-10
M6138,M6138,Other musculoskeletal disorders,ICD-10
M6139,M6139,Other musculoskeletal disorders,ICD-10
M614,M614,Other musculoskeletal disorders,ICD-10
M6140,M6140,Other musculoskeletal disorders,ICD-10
M6141,M6141,Other musculoskeletal disorders,ICD-10
M6142,M6142,Other musculoskeletal disorders,ICD-10
M6143,M6143,Other musculoskeletal disorders,ICD-10
M6144,M6144,Other musculoskeletal disorders,ICD-10
M6145,M6145,Other musculoskeletal disorders,ICD-10
M6146,M6146,Other musculoskeletal disorders,ICD-10
M6147,M6147,Other musculoskeletal disorders,ICD-10
M6148,M6148,Other musculoskeletal disorders,ICD-10
M6149,M6149,Other musculoskeletal disorders,ICD-10
M615,M615,Other musculoskeletal disorders,ICD-10
M6150,M6150,Other musculoskeletal disorders,ICD-10
M6151,M6151,Other musculoskeletal disorders,ICD-10
M6152,M6152,Other musculoskeletal disorders,ICD-10
M6153,M6153,Other musculoskeletal disorders,ICD-10
M6154,M6154,Other musculoskeletal disorders,ICD-10
M6155,M6155,Other musculoskeletal disorders,ICD-10
M6156,M6156,Other musculoskeletal disorders,ICD-10
M6157,M6157,Other musculoskeletal disorders,ICD-10
M6158,M6158,Other musculoskeletal disorders,ICD-10
M6159,M6159,Other musculoskeletal disorders,ICD-10
M619,M619,Other musculoskeletal disorders,ICD-10
M6190,M6190,Other musculoskeletal disorders,ICD-10
M6191,M6191,Other musculoskeletal disorders,ICD-10
M6192,M6192,Other musculoskeletal disorders,ICD-10
M6193,M6193,Other musculoskeletal disorders,ICD-10
M6194,M6194,Other musculoskeletal disorders,ICD-10
M6195,M6195,Other musculoskeletal disorders,ICD-10
M6196,M6196,Other musculoskeletal disorders,ICD-10
M6197,M6197,Other musculoskeletal disorders,ICD-10
M6198,M6198,Other musculoskeletal disorders,ICD-10
M6199,M6199,Other musculoskeletal disorders,ICD-10
M62,M62,Other musculoskeletal disorders,ICD-10
M620,M620,Other musculoskeletal disorders,ICD-10
M6200,M6200,Other musculoskeletal disorders,ICD-10
M6201,M6201,Other musculoskeletal disorders,ICD-10
M6202,M6202,Other musculoskeletal disorders,ICD-10
M6203,M6203,Other musculoskeletal disorders,ICD-10
M6204,M6204,Other musculoskeletal disorders,ICD-10
M6205,M6205,Other musculoskeletal disorders,ICD-10
M6206,M6206,Other musculoskeletal disorders,ICD-10
M6207,M6207,Other musculoskeletal disorders,ICD-10
M6208,M6208,Other musculoskeletal disorders,ICD-10
M6209,M6209,Other musculoskeletal disorders,ICD-10
M621,M621,Other musculoskeletal disorders,ICD-10
M6210,M6210,Other musculoskeletal disorders,ICD-10
M6211,M6211,Other musculoskeletal disorders,ICD-10
M6212,M6212,Other musculoskeletal disorders,ICD-10
M6213,M6213,Other musculoskeletal disorders,ICD-10
M6214,M6214,Other musculoskeletal disorders,ICD-10
M6215,M6215,Other musculoskeletal disorders,ICD-10
M6216,M6216,Other musculoskeletal disorders,ICD-10
M6217,M6217,Other musculoskeletal disorders,ICD-10
M6218,M6218,Other musculoskeletal disorders,ICD-10
M6219,M6219,Other musculoskeletal disorders,ICD-10
M622,M622,Other musculoskeletal disorders,ICD-10
M6220,M6220,Other musculoskeletal disorders,ICD-10
M6221,M6221,Other musculoskeletal disorders,ICD-10
M6222,M6222,Other musculoskeletal disorders,ICD-10
M6223,M6223,Other musculoskeletal disorders,ICD-10
M6224,M6224,Other musculoskeletal disorders,ICD-10
M6225,M6225,Other musculoskeletal disorders,ICD-10
M6226,M6226,Other musculoskeletal disorders,ICD-10
M6227,M6227,Other musculoskeletal disorders,ICD-10
M6228,M6228,Other musculoskeletal disorders,ICD-10
M6229,M6229,Other musculoskeletal disorders,ICD-10
M623,M623,Other musculoskeletal disorders,ICD-10
M6230,M6230,Other musculoskeletal disorders,ICD-10
M6231,M6231,Other musculoskeletal disorders,ICD-10
M6232,M6232,Other musculoskeletal disorders,ICD-10
M6233,M6233,Other musculoskeletal disorders,ICD-10
M6234,M6234,Other musculoskeletal disorders,ICD-10
M6235,M6235,Other musculoskeletal disorders,ICD-10
M6236,M6236,Other musculoskeletal disorders,ICD-10
M6237,M6237,Other musculoskeletal disorders,ICD-10
M6238,M6238,Other musculoskeletal disorders,ICD-10
M6239,M6239,Other musculoskeletal disorders,ICD-10
M624,M624,Other musculoskeletal disorders,ICD-10
M6240,M6240,Other musculoskeletal disorders,ICD-10
M6241,M6241,Other musculoskeletal disorders,ICD-10
M6242,M6242,Other musculoskeletal disorders,ICD-10
M6243,M6243,Other musculoskeletal disorders,ICD-10
M6244,M6244,Other musculoskeletal disorders,ICD-10
M6245,M6245,Other musculoskeletal disorders,ICD-10
M6246,M6246,Other musculoskeletal disorders,ICD-10
M6247,M6247,Other musculoskeletal disorders,ICD-10
M6248,M6248,Other musculoskeletal disorders,ICD-10
M6249,M6249,Other musculoskeletal disorders,ICD-10
M625,M625,Other musculoskeletal disorders,ICD-10
M6250,M6250,Other musculoskeletal disorders,ICD-10
M6251,M6251,Other musculoskeletal disorders,ICD-10
M6252,M6252,Other musculoskeletal disorders,ICD-10
M6253,M6253,Other musculoskeletal disorders,ICD-10
M6254,M6254,Other musculoskeletal disorders,ICD-10
M6255,M6255,Other musculoskeletal disorders,ICD-10
M6256,M6256,Other musculoskeletal disorders,ICD-10
M6257,M6257,Other musculoskeletal disorders,ICD-10
M6258,M6258,Other musculoskeletal disorders,ICD-10
M6259,M6259,Other musculoskeletal disorders,ICD-10
M626,M626,Other musculoskeletal disorders,ICD-10
M6260,M6260,Other musculoskeletal disorders,ICD-10
M6261,M6261,Other musculoskeletal disorders,ICD-10
M6262,M6262,Other musculoskeletal disorders,ICD-10
M6263,M6263,Other musculoskeletal disorders,ICD-10
M6264,M6264,Other musculoskeletal disorders,ICD-10
M6265,M6265,Other musculoskeletal disorders,ICD-10
M6266,M6266,Other musculoskeletal disorders,ICD-10
M6267,M6267,Other musculoskeletal disorders,ICD-10
M6268,M6268,Other musculoskeletal disorders,ICD-10
M6269,M6269,Other musculoskeletal disorders,ICD-10
M628,M628,Other musculoskeletal disorders,ICD-10
M6280,M6280,Other musculoskeletal disorders,ICD-10
M6281,M6281,Other musculoskeletal disorders,ICD-10
M6282,M6282,Other musculoskeletal disorders,ICD-10
M6283,M6283,Other musculoskeletal disorders,ICD-10
M6284,M6284,Other musculoskeletal disorders,ICD-10
M6285,M6285,Other musculoskeletal disorders,ICD-10
M6286,M6286,Other musculoskeletal disorders,ICD-10
M6287,M6287,Other musculoskeletal disorders,ICD-10
M6288,M6288,Other musculoskeletal disorders,ICD-10
M6289,M6289,Other musculoskeletal disorders,ICD-10
M629,M629,Other musculoskeletal disorders,ICD-10
M6290,M6290,Other musculoskeletal disorders,ICD-10
M6291,M6291,Other musculoskeletal disorders,ICD-10
M6292,M6292,Other musculoskeletal disorders,ICD-10
M6293,M6293,Other musculoskeletal disorders,ICD-10
M6294,M6294,Other musculoskeletal disorders,ICD-10
M6295,M6295,Other musculoskeletal disorders,ICD-10
M6296,M6296,Other musculoskeletal disorders,ICD-10
M6297,M6297,Other musculoskeletal disorders,ICD-10
M6298,M6298,Other musculoskeletal disorders,ICD-10
M6299,M6299,Other musculoskeletal disorders,ICD-10
M63,M63,Other musculoskeletal disorders,ICD-10
M630,M630,Other musculoskeletal disorders,ICD-10
M631,M631,Other musculoskeletal disorders,ICD-10
M632,M632,Other musculoskeletal disorders,ICD-10
M633,M633,Other musculoskeletal disorders,ICD-10
M638,M638,Other musculoskeletal disorders,ICD-10
M65,M65,Other musculoskeletal disorders,ICD-10
M650,M650,Other musculoskeletal disorders,ICD-10
M6500,M6500,Other musculoskeletal disorders,ICD-10
M6501,M6501,Other musculoskeletal disorders,ICD-10
M6502,M6502,Other musculoskeletal disorders,ICD-10
M6503,M6503,Other musculoskeletal disorders,ICD-10
M6504,M6504,Other musculoskeletal disorders,ICD-10
M6505,M6505,Other musculoskeletal disorders,ICD-10
M6506,M6506,Other musculoskeletal disorders,ICD-10
M6507,M6507,Other musculoskeletal disorders,ICD-10
M6508,M6508,Other musculoskeletal disorders,ICD-10
M6509,M6509,Other musculoskeletal disorders,ICD-10
M651,M651,Other musculoskeletal disorders,ICD-10
M6510,M6510,Other musculoskeletal disorders,ICD-10
M6511,M6511,Other musculoskeletal disorders,ICD-10
M6512,M6512,Other musculoskeletal disorders,ICD-10
M6513,M6513,Other musculoskeletal disorders,ICD-10
M6514,M6514,Other musculoskeletal disorders,ICD-10
M6515,M6515,Other musculoskeletal disorders,ICD-10
M6516,M6516,Other musculoskeletal disorders,ICD-10
